好料空间维护,#genre#
卡顿右键换源,http://

央视频道,#genre#	
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv1hd
CCTV1,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv1
CCTV1,http://116.26.11.237:4000/udp/239.77.1.17:5146
CCTV1,http://116.26.11.237:4000/udp/239.77.1.144:5146
CCTV1,http://116.26.11.237:4000/udp/239.77.0.86:5146
CCTV1,http://116.26.11.237:4000/udp/239.77.0.129:5146
CCTV1,http://114.254.89.131:2222/udp/239.3.1.129:8008
CCTV1,http://42.5.34.200:13/rtp/232.0.0.27:8808
CCTV1,http://182.32.184.7:5002/udp/239.21.1.1:5002
CCTV1,http://182.32.184.7:5002/udp/239.21.1.120:5002
CCTV1,http://eecc.cc:8888/udp/233.50.200.99:5140
CCTV1,http://eecc.cc:8888/udp/233.50.200.130:5140
CCTV1,http://eecc.cc:8888/udp/233.50.200.143:5140
CCTV1,http://eecc.cc:8888/udp/233.50.201.118:5140
CCTV1,http://eecc.cc:8888/udp/233.50.201.222:5140
CCTV1,http://49.70.221.126:8888/rtp/239.49.8.19:9614
CCTV1,http://49.70.221.126:8888/rtp/239.49.8.129:6000
CCTV1,http://220.178.106.163:1000/udp/238.1.78.166:7200
CCTV1,http://61.52.27.127:2000/rtp/225.1.4.73:1102
CCTV1,http://106.113.145.82:2222/udp/239.254.200.45:8008


CCTV2,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv2hd
CCTV2,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv2
CCTV2,http://116.26.11.237:4000/udp/239.77.1.158:5146
CCTV2,http://116.26.11.237:4000/udp/239.253.43.17:5146
CCTV2,http://116.26.11.237:4000/udp/239.77.0.137:5146
CCTV2,http://114.254.89.131:2222/udp/239.3.1.60:8084
CCTV2,http://42.5.34.200:13/rtp/232.0.0.132:9144
CCTV2,http://182.32.184.7:5002/udp/239.21.1.2:5002
CCTV2,http://182.32.184.7:5002/udp/239.21.1.151:5002
CCTV2,http://eecc.cc:8888/udp/233.50.200.25:5140
CCTV2,http://eecc.cc:8888/udp/233.50.200.100:5140
CCTV2,http://eecc.cc:8888/udp/233.50.201.119:5140
CCTV2,http://49.70.221.126:8888/rtp/239.49.8.50:9802
CCTV2,http://49.70.221.126:8888/rtp/239.49.8.130:6000
CCTV2,http://220.178.106.163:1000/udp/238.1.78.235:7752
CCTV2,http://61.52.27.127:2000/rtp/225.1.4.74:1103
CCTV2,http://106.113.145.82:2222/udp/239.254.200.158:6000



CCTV3,http://116.26.11.237:4000/udp/239.77.0.169:5146
CCTV3,http://116.26.11.237:4000/udp/239.77.0.175:5146
CCTV3,http://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV3,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv3hd
CCTV3,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv3
CCTV3,http://114.254.89.131:2222/udp/239.3.1.172:8001
CCTV3,http://42.5.34.200:13/rtp/232.0.0.198:9214
CCTV3,http://182.32.184.7:5002/udp/239.21.1.3:5002
CCTV3,http://182.32.184.7:5002/udp/239.21.2.45:5002
CCTV3,http://eecc.cc:8888/udp/233.50.200.107:5140
CCTV3,http://eecc.cc:8888/udp/233.50.201.196:5140
CCTV3,http://49.70.221.126:8888/rtp/239.49.9.31:6000
CCTV3,http://220.178.106.163:1000/udp/238.1.78.170:7232
CCTV3,http://106.113.145.82:2222/udp/239.254.201.152:7205
CCTV3,http://106.113.145.82:2222/udp/239.254.200.13:6000



CCTV4,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4,http://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV4,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv4hd
CCTV4,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv4
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV4,http://116.26.11.237:4000/udp/239.77.1.163:5146
CCTV4,http://116.26.11.237:4000/udp/239.77.1.166:5146
CCTV4,http://116.26.11.237:4000/udp/239.77.0.78:5146
